"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"OLPM","OLP MODARABA","24,811.00"," 548,560.76 ","24,811.00"," 548,560.76 ","100.00 ","100.00 "
"OML","OLYMPIA MILLS LIMITED","3,548.00"," 147,766.75 ","2,531.00"," 105,503.00 ","71.34 ","71.40 "
"ORM","ORIENT RENTAL MODARABA","82,354.00"," 1,037,184.70 ","45,964.00"," 577,844.20 ","55.81 ","55.71 "
"OTSU","OTSUKA PAKISTAN LIMITED","7,008.00"," 2,259,488.40 ","6,705.00"," 2,160,881.40 ","95.68 ","95.64 "
"P01GIS031225","1 YEAR GIS-DISCOUNTED-MATURITY 03-12-25","1.00"," 4,949.50 ","1.00"," 4,949.50 ","100.00 ","100.00 "
"P01GIS061125","1 YEAR GIS-DISCOUNTED-MATURITY 06-11-25","1,056,960.00"," 5,268,591,835.00 ","930,960.00"," 4,640,985,835.00 ","88.08 ","88.09 "
"P01GIS080126","1 YEAR GIS-DISCOUNTED-MAT DATE 08-01-26","70,002.00"," 342,834,798.00 ","70,002.00"," 342,834,798.00 ","100.00 ","100.00 "
"P01GIS200826","1 YEAR GIS-DISCOUNTED-MATURITY 20AUG26","2.00"," 9,254.00 ","2.00"," 9,254.00 ","100.00 ","100.00 "
"P01GIS290526","1 YEAR GIS-DISCOUNTED-MATURITY 29MAY26","1.00"," 4,723.00 ","1.00"," 4,723.00 ","100.00 ","100.00 "
"P01GIS290926","1 YEAR GIS-DISCOUNTED-MATURITY 29SEP26","1.00"," 4,561.00 ","1.00"," 4,561.00 ","100.00 ","100.00 "
"P03VRR100527","3 YEAR GIS-VRR-MATURITY DATE 10-MAY-27","1.00"," 5,292.79 ","1.00"," 5,292.79 ","100.00 ","100.00 "
"P03VRR280627","3 YEAR GIS-VRR-MATURITY DATE 28-JUN-27","30,000.00"," 155,274,012.00 ","30,000.00"," 155,274,012.00 ","100.00 ","100.00 "
"P05VRR180929","5 YEAR GIS-VRR-MATURITY DATE 18-SEP-29","64,000.00"," 326,092,633.60 ","64,000.00"," 326,092,633.60 ","100.00 ","100.00 "
"PABC","PAKISTAN ALUMINIUM BEVERAGE CANS LTD","343,743.00"," 51,979,181.49 ","271,203.00"," 41,020,361.36 ","78.90 ","78.92 "
"PACE","PACE (PAKISTAN) LIMITED","69,129,368.00"," 1,631,957,942.96 ","24,609,894.00"," 585,874,984.20 ","35.60 ","35.90 "
"PAKD","PAK DATACOM LIMITED","1,147.00"," 212,376.96 ","1,089.00"," 201,778.39 ","94.94 ","95.01 "
"PAKL","PAK LEATHER CRAFTS LIMITED","3,115.00"," 115,776.71 ","2,211.00"," 83,230.57 ","70.98 ","71.89 "
"PAKOXY","PAKISTAN OXYGEN LIMITED","10,322.00"," 2,477,326.01 ","10,322.00"," 2,477,326.01 ","100.00 ","100.00 "
"PAKRI","PAKISTAN REINSURANCE COMPANY LIMITED","2,422,694.00"," 41,674,130.21 ","1,922,465.00"," 33,019,059.99 ","79.35 ","79.23 "
"PAKT","PAKISTAN TOBACCO COMPANY LIMITED","10,077.00"," 15,715,393.48 ","8,815.00"," 13,748,131.20 ","87.48 ","87.48 "
"PASL","PERVEZ AHMED CONSULTANCY SERVICES LTD","16,433,356.00"," 67,150,897.39 ","7,905,049.00"," 32,439,082.53 ","48.10 ","48.31 "
"PASM","PARAMOUNT SPINNING MILLS LIMITED","6,357.00"," 49,208.44 ","5,404.00"," 41,654.73 ","85.01 ","84.65 "
"PCAL","PAKISTAN CABLES LIMITED","19,925.00"," 4,324,589.70 ","12,890.00"," 2,809,373.45 ","64.69 ","64.96 "
"PECO","PAKISTAN ENGINEERING COMPANY LIMITED","938.00"," 429,944.78 ","921.00"," 422,102.88 ","98.19 ","98.18 "
"PGLC","PAK GULF LEASING COMPANY LIMITED","7,437.00"," 126,686.11 ","5,937.00"," 101,032.11 ","79.83 ","79.75 "
"PIAHCLA","PIA HOLDING COMPANY LIMITED-CLASS A","29,094,599.00"," 791,757,601.06 ","12,353,496.00"," 337,003,901.42 ","42.46 ","42.56 "
"PIAHCLB","PIA HOLDING COMPANY LIMITED-CLASS B","23.00"," 575,400.62 ","15.00"," 375,605.90 ","65.22 ","65.28 "
"PIBTL","PAKISTAN INTERNATIONAL BULK TERMINAL LTD","39,897,325.00"," 647,852,220.52 ","20,122,266.00"," 328,126,014.50 ","50.44 ","50.65 "
"PICT","PAKISTAN INTL CONTAINER TERMINAL LTD.","473,811.00"," 19,847,531.84 ","333,541.00"," 13,958,639.70 ","70.40 ","70.33 "
"PIL","PICIC INSURANCE LIMITED","152,114.00"," 867,011.89 ","141,559.00"," 807,294.70 ","93.06 ","93.11 "
"PIM","POPULAR ISLAMIC MODARABA","3,804.00"," 81,939.90 ","3,798.00"," 81,805.43 ","99.84 ","99.84 "
"PINL","PREMIER INSURANCE LIMITED","883,618.00"," 7,580,574.62 ","553,692.00"," 4,750,219.68 ","62.66 ","62.66 "
"PIOC","PIONEER CEMENT LIMITED","400,576.00"," 93,636,780.79 ","301,531.00"," 71,017,716.91 ","75.27 ","75.84 "
"PKGI","THE PAKISTAN GENERAL INSURANCE CO. LTD.","31,648.00"," 491,818.68 ","28,844.00"," 448,283.64 ","91.14 ","91.15 "
"PKGP","PAKGEN POWER LIMITED","11,822.00"," 991,599.31 ","9,426.00"," 790,125.72 ","79.73 ","79.68 "
"PKGS","PACKAGES LIMITED","2,456.00"," 1,758,719.63 ","2,392.00"," 1,712,855.33 ","97.39 ","97.39 "
"PNSC","PAKISTAN NATIONAL SHIPPING CORPORATION","23,046.00"," 10,737,555.00 ","19,189.00"," 8,940,212.23 ","83.26 ","83.26 "
"POL","PAKISTAN OILFIELDS LIMITED","249,055.00"," 156,207,137.20 ","179,083.00"," 112,543,569.13 ","71.91 ","72.05 "
"POML","PUNJAB OIL MILLS LIMITED","12,634.00"," 2,334,695.10 ","12,434.00"," 2,297,795.10 ","98.42 ","98.42 "
"POWER","POWER CEMENT LIMITED","4,469,523.00"," 82,828,724.32 ","3,048,727.00"," 56,703,421.89 ","68.21 ","68.46 "
"POWERPS","POWER CEMENT LIMITED - PREFERENCE SHARES","3,667.00"," 98,926.89 ","3,167.00"," 86,796.89 ","86.36 ","87.74 "
"PPL","PAKISTAN PETROLEUM LIMITED","12,711,605.00"," 2,459,282,489.56 ","4,954,938.00"," 984,235,907.57 ","38.98 ","40.02 "
"PPP","PAKISTAN PAPER PRODUCTS LIMITED","10,923.00"," 1,643,840.02 ","10,192.00"," 1,534,908.92 ","93.31 ","93.37 "
"PREMA","AT-TAHUR LIMITED","1,157,765.00"," 47,274,275.07 ","989,861.00"," 40,415,509.82 ","85.50 ","85.49 "
"PRET","PREMIUM TEXTILE MILLS LIMITED","42.00"," 18,461.81 ","15.00"," 6,932.81 ","35.71 ","37.55 "
"PRL","PAKISTAN REFINERY LIMITED","6,814,689.00"," 241,858,396.03 ","3,509,798.00"," 128,473,928.44 ","51.50 ","53.12 "
"PRWM","PROSPERITY WEAVING MILLS LIMITED","5.00"," 269.16 ","5.00"," 269.16 ","100.00 ","100.00 "
"PSEL","PAKISTAN SERVICES LIMITED","12,577.00"," 14,575,000.18 ","10,027.00"," 11,662,034.64 ","79.72 ","80.01 "
"PSO","PAKISTAN STATE OIL COMPANY LIMITED","4,445,800.00"," 2,036,722,355.32 ","2,427,960.00"," 1,146,223,214.32 ","54.61 ","56.28 "
"PSX","PAKISTAN STOCK EXCHANGE LIMITED","6,461,304.00"," 318,025,917.80 ","4,517,713.00"," 223,012,199.99 ","69.92 ","70.12 "
"PSYL","PAKISTAN SYNTHETICS LIMITED","4,306.00"," 238,630.16 ","4,010.00"," 221,844.97 ","93.13 ","92.97 "
"PTC","PAKISTAN TELECOMMUNICATION COMPANY LTD","45,113,563.00"," 1,783,058,145.87 ","15,851,905.00"," 662,856,438.33 ","35.14 ","37.18 "
"PTL","PANTHER TYRES LIMITED","552,399.00"," 29,470,052.39 ","421,873.00"," 22,566,206.30 ","76.37 ","76.57 "
"QUET","QUETTA TEXTILE MILLS LIMITED","5,473.00"," 88,541.80 ","3,661.00"," 59,294.70 ","66.89 ","66.97 "
"QUICE","QUICE FOOD INDUSTRIES LIMITED","1,382,457.00"," 13,132,051.01 ","1,196,002.00"," 11,363,839.79 ","86.51 ","86.54 "
"RCML","RELIANCE COTTON SPINNING MILLS LIMITED","335.00"," 176,664.60 ","112.00"," 58,656.19 ","33.43 ","33.20 "
"REDCO","REDCO TEXTILES LIMITED","64,456.00"," 1,203,897.21 ","62,652.00"," 1,170,399.99 ","97.20 ","97.22 "
"REWM","RELIANCE WEAVING MILLS LIMITED","2,405.00"," 346,080.00 ","2,405.00"," 346,080.00 ","100.00 ","100.00 "
"RICL","RELIANCE INSURANCE COMPANY LIMITED","10,083.00"," 162,773.51 ","8,585.00"," 139,118.97 ","85.14 ","85.47 "
"RMPL","RAFHAN MAIZE PRODUCTS COMPANY LIMITED","137.00"," 1,321,328.48 ","122.00"," 1,179,231.25 ","89.05 ","89.25 "
"RPL","ROSHAN PACKAGES LIMITED","209,227.00"," 3,783,308.48 ","169,673.00"," 3,068,673.32 ","81.10 ","81.11 "
"RUBY","RUBY TEXTILE MILLS LIMITED","464.00"," 5,859.02 ","464.00"," 5,859.02 ","100.00 ","100.00 "
"RUPL","RUPALI POLYESTER LIMITED","4,273.00"," 158,219.69 ","4,173.00"," 154,511.69 ","97.66 ","97.66 "
"SAIF","SAIF TEXTILE MILLS LIMITED","2,868,040.00"," 74,252,930.02 ","2,667,540.00"," 69,300,300.02 ","93.01 ","93.33 "
"SANSM","SANGHAR SUGAR MILLS LIMITED","1.00"," 59.99 ","1.00"," 59.99 ","100.00 ","100.00 "
"SAPT","SAPPHIRE TEXTILE MILLS LIMITED","10.00"," 13,904.07 ","10.00"," 13,904.07 ","100.00 ","100.00 "
"SARC","SARDAR CHEMICAL INDUSTRIES LIMITED","3,853.00"," 219,750.02 ","2,880.00"," 164,556.84 ","74.75 ","74.88 "
"SASML","SINDH ABADGARS SUGAR MILLS LIMITED","27.00"," 4,778.60 ","21.00"," 3,716.35 ","77.78 ","77.77 "
"SAZEW","SAZGAR ENGINEERING WORKS LIMITED","40,171.00"," 75,530,203.14 ","32,853.00"," 61,963,115.17 ","81.78 ","82.04 "
"SBL","SAMBA BANK LIMITED","2,816,076.00"," 36,579,464.98 ","2,438,246.00"," 31,655,806.05 ","86.58 ","86.54 "
"SCBPL","STANDARD CHARTERED BANK (PAKISTAN) LTD.","49,793.00"," 3,440,840.78 ","49,313.00"," 3,407,552.93 ","99.04 ","99.03 "
"SCL","SHIELD CORPORATION LIMITED","685.00"," 254,999.52 ","685.00"," 254,999.52 ","100.00 ","100.00 "
"SEARL","THE SEARLE COMPANY LIMITED","19,877,296.00"," 2,150,678,099.12 ","8,207,296.00"," 929,744,120.93 ","41.29 ","43.23 "
