Symbol,Date,Trade Volume,Trade Value,UIN Settlement Volume,UIN Settlement Value,UIN % Volume,UIN % Value
FEROZ,2025-11-30,33608.0,13230488.61,28318.0,11154977.34,84.25970007141157,84.3126634912692
FFC,2025-11-30,3576744.0,1727571751.32,1768120.0,881249859.24,49.433786706568874,51.01089772778793
FFL,2025-11-30,5948688.0,109683136.86,3895996.0,72214940.19,65.49336593211814,65.83960147144172
FFLM,2025-11-30,141006.0,2043462.58,128792.0,1866559.58,91.3379572500461,91.3429782501816
FHAM,2025-11-30,11402.0,388281.78,11392.0,387931.98,99.91229608840554,99.90991078695475
FIBLM,2025-11-30,3898.0,46131.94,3516.0,41404.95,90.20010261672653,89.75332491978442
FIL,2025-11-30,731.0,125100.49,731.0,125100.49,100.0,100.0
FIMM,2025-11-30,188.0,51480.31,164.0,45349.99,87.2340425531915,88.09191319943488
FLYNG,2025-11-30,2852085.0,153518186.09,2189981.0,117608135.99,76.78526411379745,76.60860187668726
FML,2025-11-30,546.0,37875.25,546.0,37875.25,100.0,100.0
FNEL,2025-11-30,79204809.0,1796430753.85,25470138.0,586477929.6,32.15731256924059,32.64684309946802
FPJM,2025-11-30,105427.0,1000559.03,91368.0,865607.23,86.6647063845125,86.51235999539178
FPRM,2025-11-30,4656.0,62609.56,4153.0,55821.36,89.19673539518901,89.15788579252114
FRCL,2025-11-30,22067.0,1990559.19,19042.0,1721267.99,86.29174785879368,86.47158038038548
FRSM,2025-11-30,5592.0,296600.19,5592.0,296600.19,100.0,100.0
FSWL,2025-11-30,61.0,6478.18,43.0,4677.3,70.49180327868852,72.20083418490995
FTMM,2025-11-30,2683.0,48343.5,2681.0,48308.38,99.92545657845695,99.9273532119106
FTSM,2025-11-30,3087.0,40554.16,3087.0,40554.16,100.0,100.0
FZCM,2025-11-30,6858.0,1524572.27,6440.0,1429501.05,93.90492855059784,93.76407259460386
GADT,2025-11-30,10511.0,3485999.8,9705.0,3217936.93,92.33184283131956,92.31030162422844
GAL,2025-11-30,271333.0,146781077.46,166886.0,92123957.29,61.50597236605941,62.762829435630174
GAMON,2025-11-30,20652.0,486157.19,8387.0,200395.34,40.611078830137515,41.22027692319021
GATI,2025-11-30,237900.0,27163707.8,153903.0,17692695.42,64.6923076923077,65.13358025445997
GATM,2025-11-30,711859.0,18627621.65,555911.0,14555271.36,78.09285265761899,78.13810927386965
GCIL,2025-11-30,2682422.0,83349899.17,2014605.0,62625335.22,75.10395456046811,75.1354660816922
GCWL,2025-11-30,698404.0,12515282.69,516079.0,9256753.76,73.89404986225738,73.96360105710086
GEMBLUEX,2025-11-30,5.0,403.85,5.0,403.85,100.0,100.0
GEMPACRA,2025-11-30,300.0,7710.0,300.0,7710.0,100.0,100.0
GEMSPNL,2025-11-30,700.0,44945.0,700.0,44945.0,100.0,100.0
GFIL,2025-11-30,17405.0,257688.42,13575.0,200415.21,77.99482907210572,77.77423991345826
GGGL,2025-11-30,767214.0,7600450.15,608725.0,6043101.84,79.34226956233854,79.50978850903981
GGL,2025-11-30,2197046.0,50631483.33,1641492.0,37727002.68,74.7135927058423,74.51293187305481
GHGL,2025-11-30,206018.0,6843894.82,190580.0,6331157.77,92.50648001630925,92.50811031604952
GHNI,2025-11-30,427065.0,335033603.92,287144.0,225362997.2,67.23660332736235,67.26578903225857
GLAXO,2025-11-30,95991.0,38153816.17,83804.0,33307493.32,87.3040180850288,87.2979341610116
GLPL,2025-11-30,3727.0,1928170.44,1924.0,1003761.1,51.62328950898847,52.05769568793929
GOC,2025-11-30,103.0,11856.93,103.0,11856.93,100.0,100.0
GRR,2025-11-30,162783.0,3345491.7,157279.0,3233409.9,96.61881154666028,96.64976601197365
GRYL,2025-11-30,37437.0,1097402.21,31936.0,937339.19,85.30598071426664,85.41437054332157
GSPM,2025-11-30,1331.0,6921.2,1331.0,6921.2,100.0,100.0
GTYR,2025-11-30,91087.0,3372465.04,85150.0,3151750.95,93.48205561715723,93.45540762077107
GUSM,2025-11-30,13223.0,118315.55,8056.0,71421.52,60.92414731906527,60.365285881695186
GVGL,2025-11-30,12038.0,691380.44,11771.0,676014.03,97.7820235919588,97.77743061403358
GWLC,2025-11-30,836947.0,46216709.51,649169.0,35853179.71,77.56393176628866,77.57622749460859
HABSM,2025-11-30,3250.0,273352.32,3052.0,257009.21,93.9076923076923,94.02122872050253
HAEL,2025-11-30,10780.0,236370.26,10746.0,235621.26,99.68460111317255,99.6831242644485
HAFL,2025-11-30,6.0,2001.96,6.0,2001.96,100.0,100.0
HALEON,2025-11-30,57654.0,47458342.59,45571.0,37521236.07,79.04221736566413,79.06141264593201
HASCOL,2025-11-30,27348314.0,418571985.1,13614990.0,208201740.93,49.783653939325106,49.74096412120343
HBL,2025-11-30,1273323.0,352696327.98,672618.0,191705047.28,52.823831816436204,54.35413756019337
HBLTETF,2025-11-30,800.0,85627.0,800.0,85627.0,100.0,100.0
HCAR,2025-11-30,442921.0,127716791.45,324974.0,93680104.44,73.37064623262388,73.34987308749838
HGFA,2025-11-30,52369.0,919212.24,52268.0,917430.34,99.80713781053677,99.80614923056291
HICL,2025-11-30,75496.0,910948.61,74426.0,898100.32,98.58270636854932,98.58957027224619
HIFA,2025-11-30,227350.0,1436998.53,212726.0,1345146.38,93.56762700681767,93.60805539585346
HINO,2025-11-30,4451.0,2239804.65,4285.0,2156242.5,96.27050101100876,96.2692215144745
HINOON,2025-11-30,14316.0,15895788.75,9571.0,10633075.01,66.85526683431125,66.89240261827209
HIRAT,2025-11-30,4767851.0,26985939.66,3636008.0,20630064.81,76.26094020136117,76.44745771287327
HMB,2025-11-30,505607.0,57354306.46,498488.0,56553410.01,98.59198943052608,98.60359840536374
HPL,2025-11-30,34.0,139700.58,31.0,127102.61,91.17647058823529,90.98216342408887
HRPL,2025-11-30,16185.0,389511.94,15856.0,381591.74,97.96725362990422,97.96663486105201
HTL,2025-11-30,270197.0,13939497.35,214501.0,11062063.35,79.38689178636328,79.3576918324103
HUBC,2025-11-30,6672219.0,1386843804.04,4571078.0,965975270.96,68.50911218591595,69.65278051832713
HUMNL,2025-11-30,2987750.0,42657979.8,2082088.0,30590226.12,69.6874905865618,71.71044260281637
HWQS,2025-11-30,1144437.0,23035259.59,585523.0,11885749.51,51.16253668834545,51.59807061675053
IBFL,2025-11-30,80.0,22310.12,78.0,21769.12,97.5,97.57509148314756
IBLHL,2025-11-30,3238384.0,182794016.38,2308835.0,132573772.13,71.29589943626203,72.52631938148346
ICCI,2025-11-30,21006.0,311238.23,16282.0,241570.78,77.51118727982481,77.61603707873547
ICIBL,2025-11-30,23107284.0,164814021.43,12173183.0,87168682.35,52.68115023816733,52.889118045713346
ICL,2025-11-30,498308.0,62746857.83,439405.0,55271042.02,88.17939908650875,88.08575270772249
IDRT,2025-11-30,14696.0,335298.76,13529.0,308285.2,92.05906369080022,91.94343575860525
IDSM,2025-11-30,12555.0,298092.68,12555.0,298092.68,100.0,100.0
IDYM,2025-11-30,7303.0,1175377.88,6842.0,1101460.28,93.6875256743804,93.7111629155383
IGIHL,2025-11-30,32997.0,10276315.02,23817.0,7434544.52,72.17928902627511,72.3464053557206
ILP,2025-11-30,491859.0,36753400.53,342898.0,26369521.12,69.71469465842853,71.74716009876651
IMAGE,2025-11-30,5593372.0,127032640.7,4856442.0,110402641.28,86.82494209217624,86.9088768615986
IML,2025-11-30,782414.0,21868517.82,668194.0,18593679.72,85.40159046233835,85.02487399029405
IMS,2025-11-30,8595802.0,181027915.4,4269806.0,90482205.64,49.67315440723274,49.98246013056614
INDU,2025-11-30,5750.0,11483342.81,5248.0,10476666.16,91.2695652173913,91.23359228531122
INIL,2025-11-30,51621.0,9742716.85,49134.0,9310027.37,95.1821932934271,95.55884167977231
